3,4.0,39,310,8580,,,,,,,,,,,
3,4.0,41,1241,39,,,,,,,,,,,
3,4.0,39,8362,48,,,,,,,,,,,
3,4.0,39,8883,48,,,,,,,,,,,
3,4.0,39,7266,48,,,,,,,,,,,
3,4.0,39,1389,48,,,,,,,,,,,
3,4.0,39,8063,48,,,,,,,,,,,
3,4.0,3141,48,39,,,,,,,,,,,
3,4.0,4805,39,48,,,,,,,,,,,
3,4.0,39,3600,48,,,,,,,,,,,
3,4.0,39,4685,9931,,,,,,,,,,,
4,4.0,41,3634,48,39,,,,,,,,,,
3,4.0,41,3905,39,,,,,,,,,,,
3,5.0,39,48,4179,,,,,,,,,,,
3,5.0,41,7203,48,,,,,,,,,,,
3,5.0,39,5804,48,,,,,,,,,,,
4,5.0,41,48,5689,39,,,,,,,,,,
4,5.0,41,3986,48,39,,,,,,,,,,
3,5.0,39,7053,48,,,,,,,,,,,
4,4.0,39,5254,2012,48,,,,,,,,,,
3,5.0,41,7507,39,,,,,,,,,,,
3,5.0,7500,39,48,,,,,,,,,,,
3,5.0,39,3624,48,,,,,,,,,,,
3,4.0,41,5520,48,,,,,,,,,,,
3,5.0,39,7652,48,,,,,,,,,,,
3,5.0,39,3685,48,,,,,,,,,,,
3,5.0,5609,39,48,,,,,,,,,,,
3,5.0,39,3847,48,,,,,,,,,,,
3,4.0,7271,32,48,,,,,,,,,,,
3,4.0,39,7271,48,,,,,,,,,,,
3,5.0,41,5604,39,,,,,,,,,,,
3,5.0,4814,48,39,,,,,,,,,,,
3,5.0,39,5090,48,,,,,,,,,,,
3,5.0,2460,2461,48,,,,,,,,,,,
3,5.0,39,5054,48,,,,,,,,,,,
3,4.0,3054,39,41,,,,,,,,,,,
3,4.0,3054,48,39,,,,,,,,,,,
3,4.0,39,6172,48,,,,,,,,,,,
3,4.0,41,6172,48,,,,,,,,,,,
3,5.0,39,4837,48,,,,,,,,,,,
3,5.0,39,4869,48,,,,,,,,,,,
3,4.0,39,4910,48,,,,,,,,,,,
3,4.0,39,4910,32,,,,,,,,,,,
3,5.0,41,2007,39,,,,,,,,,,,
3,5.0,2508,39,48,,,,,,,,,,,
3,5.0,5956,39,48,,,,,,,,,,,
3,5.0,39,6808,48,,,,,,,,,,,
3,5.0,39,8450,48,,,,,,,,,,,
3,5.0,39,9735,48,,,,,,,,,,,
